"j", "ReΣj"
         72, 1.76432086027420636E-015
         73, 9.89220530571144991E-016
         74, 3.73114843158065478E-016
         75, 7.79187406216791342E-016
         76, 3.80615980139460692E-016
         77, 1.23765524154784779E-015
         78, 2.17600473383652107E-015
         79, 1.14662079244783296E-015
         80, 1.87737143241669009E-015
         81, 1.76266357816143076E-015
         82, 4.59557465699512601E-017
         83, 8.17436347353202445E-016
         84, 9.19264578979782596E-016
         85, 7.42585435501401506E-016
         86, 1.06939882458069666E-016
         87, 1.87744358492832976E-015
         88, 1.36948861036738746E-015
         89, 1.78181083636011010E-015
         90, 6.08867173514364647E-017
         91, 1.19358639121738710E-015
         92, 1.73968995821906671E-015
         93, 4.90466574351947893E-016
         94, 7.67522450970789041E-016
         95, 2.88559455996519687E-017
         96, 5.90090047527132162E-016
         97, 8.96337754025365799E-016
         98, 1.08234539582137713E-015
         99, 1.81462686096912532E-015
        100, 3.30662524356018944E-016
        101, 4.97603184508331257E-016
        102, 2.92979645833571897E-017
        103, 1.20526240628261008E-015
        104, 6.45355766970283030E-016
        105, 1.08551638532883410E-015
        106, 7.05565898909617025E-016
        107, 9.64111545833331479E-017
        108, 4.49411878186268950E-016
        109, 1.28616984443437093E-015
        110, 4.47777438677409629E-016
        111, 1.27657987169014667E-015
        112, 6.33904763287116079E-016
        113, 1.90403599397349081E-015
        114, 8.75017766824460813E-016
        115, 1.99795850025513852E-016
        116, 2.61606434628364399E-016
        117, 5.39752851259806452E-016
        118, 1.43231718932625568E-015
        119, 2.85487878070192033E-015
        120, 4.58251465897048577E-016
        121, 8.82392543997056309E-016
        122, 2.33725630516789535E-016
        123, 1.14239683285225890E-015
        124, 1.08604164657357634E-017
        125, 6.01246889409286558E-017
        126, 1.17754416253452671E-015
        127, 1.32135519173160916E-015
        128, 2.14446520992827360E-015
        129, 2.43239839142618748E-016
        130, 1.57334345825894243E-016
        131, 9.28307249852998919E-016
        132, 5.97319650157107147E-016
        133, 1.43786616375442894E-016
        134, 5.83786609347342621E-016
        135, 4.28257034687263413E-016
        136, 6.96889884834495395E-016
        137, 3.63171269661221032E-016
        138, 8.52719320195943389E-016
        139, 3.42942925940996008E-016
        140, 1.30797275219928921E-016
        141, 5.58261360074125685E-016
        142, 3.07509531772036669E-016
        143, 3.57355613966370696E-016
        144, 5.73923001056860835E-016
        145, 9.32960696364216164E-016
        146, 1.15696904294113113E-016
        147, 7.25658855553453226E-016
        148, 2.57822153773031655E-016
        149, 1.82018065317959682E-016
        150, 7.14617756765451452E-016
        151, 1.26275365096624771E-015
        152, 3.82932798587613013E-016
        153, 2.88022860320573964E-016
        154, 6.26535657883680067E-016
        155, 1.77998171466447573E-016
        156, 2.55351531949860798E-016
        157, 1.14388034562744409E-015
        158, 5.43073549860034795E-016
        159, 3.50879934289663153E-016
        160, 5.17944736205627192E-016
        161, 4.61449842562560479E-016
        162, 8.10456945603137322E-018
        163, 5.52435904938820195E-016
        164, 1.39401916482295267E-015
        165, 6.13092645833585558E-016
        166, 5.81733783715427379E-016
        167, 9.07728919696969124E-017
        168, 6.05879717917616601E-016
        169, 1.26844348312066863E-016
        170, 9.10778687402944293E-017
        171, 2.20734059004377195E-016
        172, 8.09629763659435782E-017
        173, 1.46725328622810628E-015
        174, 2.17631223747857182E-016
        175, 5.08639599295848547E-016
        176, 3.78929013770928190E-016
        177, 9.02334095696112619E-016
        178, 2.40815158059060752E-017
        179, 6.40885064540788830E-016
        180, 5.07629468151761637E-017
        181, 5.14056477995414074E-016
        182, 1.36339966236680447E-016
        183, 8.36582699771385630E-016
        184, 5.05516480480065762E-016
        185, 6.22591883298669584E-016
        186, 2.10596220163449318E-016
        187, 5.40712185316925229E-016
        188, 2.44811952871568397E-016
        189, 4.83458255577680858E-016
        190, 2.42964518632873170E-016
        191, 8.79396708417929547E-016
        192, 6.35638612610826047E-016
        193, 6.84066598699970749E-017
        194, 5.48686298775195057E-016
        195, 1.32075990522175038E-015
        196, 6.04457542241216067E-016
        197, 1.62595325966091546E-016
        198, 9.92509235596142550E-016
        199, 1.18317682220080834E-015
