"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-44, 1073741824, 3.476871995485704373343E-0008, 5.960464555045231850686E-0008, 1.738436119867402089430E-0008, 2.980232238769531250000E-0008, 5.215308115343174159589E-0008, 8.940696832567847776029E-0008, 3.476871995485704373343E-0008, 5.960464555045231850686E-0008, 5.000253127262518673439E-0001, 1.999999992549405192221E+0000, 4.904333894833752381656E-0001, 2.666664918727134656499E+0000
-43, 1073741824, 1.390778182413719274083E-0007, 2.384185797726816790405E-0007, 6.953891034197290555720E-0008, 1.192092895507812500000E-0007, 2.086167285834254799327E-0007, 3.576278696590225185608E-0007, 1.390778182413719274083E-0007, 2.384185797726816790405E-0007, 5.000340075513769641112E-0001, 1.999999970197649190595E+0000, 4.904506275540996711669E-0001, 2.666665617318474304063E+0000
-42, 1073741824, 5.563189940672812934435E-0007, 9.536743171826207867024E-0007, 2.781594982548762168102E-0007, 4.768371582031250000000E-0007, 8.344784923221534207031E-0007, 1.430511475773931180054E-0006, 5.563189940672812934435E-0007, 9.536743171826207867024E-0007, 4.999912952411752076903E-0001, 1.999999880790653605800E+0000, 4.904008039185427974372E-0001, 2.666665436081731250202E+0000
-41, 1073741824, 2.225246416489842922974E-0006, 3.814697266346080431918E-0006, 1.112623209466187568459E-0006, 1.907348632812500000000E-0006, 3.337869625956047925138E-0006, 5.722045899519120647877E-0006, 2.225246416489842922974E-0006, 3.814697266346080431918E-0006, 5.000071779926262227624E-0001, 1.999999523162724557324E+0000, 4.904315473471557889203E-0001, 2.666663217846533951891E+0000
-40, 1073741824, 8.901010958368173892108E-0006, 1.525878904147930603356E-0005, 4.450505480405351899886E-0006, 7.629394520591858963598E-0006, 1.335151643877354656594E-0005, 2.288818356221895905035E-0005, 8.901010958368173892108E-0006, 1.525878904147930603356E-0005, 4.999441985047522768442E-0001, 1.999998092651139813825E+0000, 4.903659019203608244281E-0001, 2.666653684703610855613E+0000
-39, 1073741824, 3.560470681462783627972E-0005, 6.103515605492524005325E-0005, 1.780235340853513707336E-0005, 3.051757802907673067239E-0005, 5.340706022316295751577E-0005, 9.155273408327603850100E-0005, 3.560470681462783627972E-0005, 6.103515605492524005325E-0005, 5.000146808606171141369E-0001, 1.999992370605006897222E+0000, 4.904420980488912563782E-0001, 2.666615112715640685086E+0000
-38, 1073741824, 1.424136106112865230761E-0004, 2.441406244917196436465E-0004, 7.120680530686449630437E-0005, 1.220703122477573288052E-0004, 2.136204159181510282427E-0004, 3.662109367402440007315E-0004, 1.424136106112865230761E-0004, 2.441406244917196436465E-0004, 5.000391857037726128688E-0001, 1.999969482420908661879E+0000, 4.905146269207434678351E-0001, 2.666460646262631040483E+0000
-37, 1073741824, 5.696584057061765963818E-0004, 9.765624999251143997302E-0004, 2.848292028543095213400E-0004, 4.882812499644728632120E-0004, 8.544876085604861003190E-0004, 1.464843749890336134854E-0003, 5.696584057061765963818E-0004, 9.765624999251143997302E-0004, 5.001561948990734840592E-0001, 1.999877929685617061750E+0000, 4.908605979086355729901E-0001, 2.665842678142841160988E+0000
-36, 1073741824, 2.278627653925050862905E-0003, 3.906249997782178494412E-0003, 1.139313826963746687149E-0003, 1.953124998891553332214E-0003, 3.417941480888797557600E-0003, 5.859374996674155920037E-0003, 2.278627653925050862905E-0003, 3.906249997782178494412E-0003, 5.006305527870956120676E-0001, 1.999511718745971222688E+0000, 4.921786566621100203409E-0001, 2.663370761343541582161E+0000
-35, 1073741824, 9.114588929740091881221E-0003, 1.562499997892905615434E-0002, 4.557294464871267178266E-0003, 7.812499989466203942353E-0003, 1.367188339461135907976E-0002, 2.343749996839447240993E-0002, 9.114588929740091881221E-0003, 1.562499997892905615434E-0002, 5.023156039286444199576E-0001, 1.998046874992194688047E+0000, 4.972870143993628587989E-0001, 2.653483068637250468898E+0000
