"EXP(TH(2φ))", "N", "AVG(ρ(TH))/ε", "MAX(ρ(TH))/ε", "AVG(ρ(CH))/ε", "MAX(ρ(CH))/ε", "AVG(ρ(SH))/ε", "MAX(ρ(SH))/ε", "AVG(ρ(th))/ε", "MAX(ρ(th))/ε", "AVG(ρ(ch))/ε", "MAX(ρ(ch))/ε", "AVG(ρ(sh))/ε", "MAX(ρ(sh))/ε"
-43, 1073741824, 6.79081789198230604E-011, 1.16415322097985604E-010, 3.39540900562230159E-011, 5.82076609134674072E-011, 1.01862268976067657E-010, 1.74622983146978406E-010, 6.79081789198230604E-011, 1.16415322097985604E-010, 5.00062532739935499E-001, 1.99999999998541965E+000, 4.90639939498746693E-001, 2.66493168369372144E+000
-42, 1073741824, 2.71634795165280743E-010, 4.65661287524580623E-010, 1.35817398178945626E-010, 2.32830643653869629E-010, 4.07452193344218033E-010, 6.98491931286870934E-010, 2.71634795165280743E-010, 4.65661287524580623E-010, 4.99992830746751983E-001, 1.99999999994173548E+000, 4.90483405433521790E-001, 2.66579889192088225E+000
-41, 1073741824, 1.08652778095330129E-009, 1.86264514576151380E-009, 5.43263891072963927E-010, 9.31322572880755040E-010, 1.62979167202626226E-009, 2.79396771864227070E-009, 1.08652778095330129E-009, 1.86264514576151380E-009, 5.00026176023939519E-001, 1.99999999976705565E+000, 4.90488329799817934E-001, 2.66623270668928849E+000
-40, 1073741824, 4.34611533834296986E-009, 7.45058058304605519E-009, 2.17305766976780348E-009, 3.72529029152302016E-009, 6.51917300811077679E-009, 1.11758708745690828E-008, 4.34611533834296986E-009, 7.45058058304605519E-009, 5.00025455995206420E-001, 1.99999999906845003E+000, 4.90456114674724677E-001, 2.66644966124396593E+000
-39, 1073741824, 1.73846927835176885E-008, 2.98023222766730727E-008, 8.69234639235516280E-009, 1.49011611383365050E-008, 2.60770391758728477E-008, 4.47034834150096090E-008, 1.73846927835176885E-008, 2.98023222766730727E-008, 4.99978183458675184E-001, 1.99999999627425494E+000, 4.90406721283489728E-001, 2.66655813774349377E+000
-38, 1073741824, 6.95398653867420848E-008, 1.19209289439759186E-007, 3.47699326939673382E-008, 5.96046447198794738E-008, 1.04309798080709430E-007, 1.78813934159638779E-007, 6.95398653867420848E-008, 1.19209289439759186E-007, 4.99992669250464853E-001, 1.99999998509792923E+000, 4.90408369866446336E-001, 2.66661231081180835E+000
-37, 1073741824, 2.78156759479100109E-007, 4.76837157314947532E-007, 1.39078379740146373E-007, 2.38418578657473290E-007, 4.17235139219246456E-007, 7.15255735972421299E-007, 2.78156759479100109E-007, 4.76837157314947532E-007, 4.99966143323959064E-001, 1.99999994039353617E+000, 4.90388955003778025E-001, 2.66663913662415535E+000
-36, 1073741824, 1.11263855597021075E-006, 1.90734863103614697E-006, 5.56319277985701678E-007, 9.53674315518071580E-007, 1.66895783395591242E-006, 2.86102294655422046E-006, 1.11263855597021075E-006, 1.90734863103614697E-006, 4.99962773828908873E-001, 1.99999976157778268E+000, 4.90381541303531217E-001, 2.66665149112786399E+000
-35, 1073741824, 4.45038594206023412E-006, 7.62939452414458789E-006, 2.22519297103071339E-006, 3.81469726207228632E-006, 6.67557891309094755E-006, 1.14440917862168818E-005, 4.45038594206023412E-006, 7.62939452414458789E-006, 4.99970969491897546E-001, 1.99999904631840673E+000, 4.90381850078572187E-001, 2.66665344145642912E+000
-34, 1073741824, 1.78020829700865146E-005, 3.05175780965783515E-005, 8.90104148504385357E-006, 1.52587890482891453E-005, 2.67031244551303682E-005, 4.57763671448675273E-005, 1.78020829700865146E-005, 3.05175780965783515E-005, 4.99882485512141767E-001, 1.99999618528817889E+000, 4.90320869835900816E-001, 2.66663752365931214E+000
-33, 1073741824, 7.12078864273937484E-005, 1.22070312158939744E-004, 3.56039432136974705E-005, 6.10351560794697434E-005, 1.06811829641091219E-004, 1.83105468238409616E-004, 7.12078864273937484E-005, 1.22070312158939744E-004, 4.99782896803709601E-001, 1.99998474118181944E+000, 4.90236926276688050E-001, 2.66656197304767873E+000
-32, 1073741824, 2.84831758593688679E-004, 4.88281249545251023E-004, 1.42415879296844936E-004, 2.44140624772626325E-004, 4.27247637890533615E-004, 7.32421874317876968E-004, 2.84831758593688679E-004, 4.88281249545251023E-004, 4.99575042464288941E-001, 1.99993896478548548E+000, 4.90139419816274616E-001, 2.66625383014763589E+000
-31, 1073741824, 1.13933567325367231E-003, 1.95312499818100322E-003, 5.69667836626836750E-004, 9.76562499090501829E-004, 1.70900350988050906E-003, 2.92968749727150527E-003, 1.13933567325367231E-003, 1.95312499818100322E-003, 4.99374443017633902E-001, 1.99975585925835729E+000, 4.90372813512962542E-001, 2.66501829182555404E+000
-30, 1073741824, 4.55722127181836446E-003, 7.81249998544805353E-003, 2.27861063590918283E-003, 3.90624999272402677E-003, 6.83583190772754729E-003, 1.17187499781720803E-002, 4.55722127181836446E-003, 7.81249998544805353E-003, 4.99190977894484700E-001, 1.99902343726625984E+000, 4.91931376725689915E-001, 2.66007465390454444E+000
-29, 1073741824, 1.82292730231120140E-002, 3.12499999708960445E-002, 9.11463651155600762E-003, 1.56249999854480223E-002, 2.73439095346680216E-002, 4.68749999563440667E-002, 1.82292730231120140E-002, 3.12499999708960445E-002, 5.06376168217909074E-001, 1.99609374953070071E+000, 5.06769765450154475E-001, 2.64029936815263736E+000
-28, 1073741824, 7.29171984426276866E-002, 1.24999999883584180E-001, 3.64585992213138441E-002, 6.24999999417920906E-002, 1.09375797663941530E-001, 1.87499999825376270E-001, 7.29171984426276866E-002, 1.24999999883584180E-001, 5.22247748814250277E-001, 1.98437499905412552E+000, 5.47080613926546076E-001, 2.56119785815382419E+000
-27, 1073741824, 2.91663232351004500E-001, 4.99999999534336742E-001, 1.45831616175502257E-001, 2.49999999767168388E-001, 4.37494848526506751E-001, 7.49999999301505116E-001, 3.06369669465324028E-001, 7.79700529947909355E-001, 5.69013666849624499E-001, 1.93749999796273200E+000, 6.89532840230449417E-001, 2.87750280266533543E+000
-26, 1073741824, 7.04376364334769093E-001, 1.54166666132450589E+000, 6.51916643508659118E-001, 1.24999999981249597E+000, 8.02711424602479104E-001, 2.36880215237713251E+000, 6.73430962749197400E-001, 1.54166664911383215E+000, 1.22430496487869494E+000, 1.74999999511055715E+000, 1.56204136865976838E+000, 3.64583330224399046E+000
-25, 1073741824, 5.44273283149413173E-001, 1.67499999073801584E+000, 5.28271148736640873E-001, 1.24999999839885742E+000, 6.82382472802241940E-001, 2.02801057970608177E+000, 5.46467061562063192E-001, 1.67499998250512428E+000, 7.59445837714857852E-001, 2.24999996815027938E+000, 9.20256992661546396E-001, 3.82114717412558129E+000
-24, 1073741824, 4.70443982125043499E-001, 1.42516126635909307E+000, 5.30944470977079231E-001, 1.24999999773311691E+000, 7.22345386012103969E-001, 2.33333329452824004E+000, 4.79544146565150147E-001, 1.64631578298237659E+000, 8.46601097708895341E-001, 2.24999997440730338E+000, 9.62662442093956783E-001, 3.35478025423986374E+000
-23, 1073741824, 4.64807809010549607E-001, 1.67475165829851745E+000, 5.31300754720671086E-001, 1.24999999876123898E+000, 7.22202475192589420E-001, 2.96108012307614193E+000, 4.92219438517347631E-001, 1.69651572591680931E+000, 8.25461559066472380E-001, 2.24999997041849641E+000, 9.98114616618914139E-001, 3.77698907392040423E+000
-22, 1073741824, 4.66543856111641958E-001, 1.72961187624251335E+000, 5.31274672569932807E-001, 1.24999999959902347E+000, 7.53439711846200059E-001, 3.00941836594647582E+000, 4.85312487364170083E-001, 1.82166678837741488E+000, 8.35205860534517908E-001, 2.24999993959762121E+000, 1.02449008137029233E+000, 4.05531462302596623E+000
-21, 1073741824, 4.67581192220609688E-001, 1.80998203253517462E+000, 5.31273247787265781E-001, 1.24999999684293252E+000, 7.40784444929126993E-001, 3.05712454037381347E+000, 4.86790664698838470E-001, 2.02610109492506942E+000, 8.32496101408191478E-001, 2.24999992414592326E+000, 1.04991301582161261E+000, 3.96686033939087575E+000
-20, 1073741824, 4.64967198240536012E-001, 1.85029726074398760E+000, 5.31250979429550308E-001, 1.24999999790062920E+000, 7.47624129870529062E-001, 3.21066653975612244E+000, 4.83829292303127526E-001, 2.06936827200774160E+000, 8.35109844806338294E-001, 2.24999990689301060E+000, 1.04608840658696894E+000, 4.21724221203480242E+000
-19, 1073741824, 4.65011108309447268E-001, 1.86641481134002189E+000, 5.31242923870086300E-001, 1.24999998816192859E+000, 7.48706359039358880E-001, 3.19811460530343451E+000, 4.85166143997977510E-001, 2.09135202027319583E+000, 8.35852342556995884E-001, 2.24999987536339424E+000, 1.05231662930729021E+000, 4.29716691904068973E+000
-18, 1073741824, 4.65431580527012968E-001, 1.86216103010403071E+000, 5.31241299136730669E-001, 1.24999990522070906E+000, 7.49892005884059876E-001, 3.23425058307571916E+000, 4.85793705985358516E-001, 2.11951479837485564E+000, 8.35944503532466228E-001, 2.24999946359904271E+000, 1.06766293540335490E+000, 4.31748942822962077E+000
-17, 1073741824, 4.65598436330288667E-001, 1.86769723227092925E+000, 5.31237021555124196E-001, 1.24999920166400756E+000, 7.49417195714591400E-001, 3.23763115357975151E+000, 4.85790318222401381E-001, 2.11793209100468427E+000, 8.35929134649184451E-001, 2.24999815732376847E+000, 1.07100701007307526E+000, 4.33506924413619664E+000
