"TH(θ)", "ρ(DET)/ε"
 7.997844815E-01, 2.005849838E+00
 7.997846603E-01, 6.695892811E-01
 7.997849584E-01, 2.018059492E+00
 7.997851968E-01, 6.982529163E-01
 7.997853756E-01, 1.955696821E+00
 7.997855544E-01, 6.144218445E-01
 7.997857928E-01, 6.001405716E-01
 7.997860909E-01, 7.482490540E-01
 7.997862697E-01, 3.239878654E+00
 7.997864485E-01, 5.645124912E-01
 7.997866869E-01, 5.502912998E-01
 7.997869849E-01, 7.980349064E-01
 7.997871637E-01, 3.190142870E+00
 7.997874022E-01, 2.153428078E+00
 7.997875810E-01, 1.834772110E+00
 7.997877598E-01, 8.405411243E-01
 7.997880578E-01, 2.188793898E+00
 7.997882962E-01, 8.687927723E-01
 7.997884750E-01, 1.785340071E+00
 7.997887135E-01, 3.558168411E+00
 7.997889519E-01, 2.238125801E+00
 7.997891903E-01, 9.180679321E-01
 7.997893691E-01, 1.736118317E+00
 7.997896075E-01, 2.273234129E+00
 7.997897863E-01, 3.809759617E-01
 7.997900844E-01, 9.671328068E-01
 7.997902632E-01, 3.642345428E+00
 7.997905016E-01, 2.322205544E+00
 7.997906804E-01, 1.666166306E+00
 7.997909784E-01, 1.015987396E+00
 7.997911572E-01, 2.972412109E+00
 7.997913957E-01, 2.370966673E+00
 7.997915745E-01, 1.617455244E+00
 7.997918129E-01, 3.725904465E+00
 7.997919917E-01, 2.625398636E-01
 7.997922897E-01, 2.419517517E+00
 7.997924685E-01, 1.568954468E+00
 7.997927070E-01, 2.889236450E+00
 7.997928858E-01, 2.141325474E-01
 7.997931838E-01, 1.133758783E+00
 7.997933626E-01, 2.854762316E+00
 7.997936010E-01, 2.488511086E+00
 7.997937799E-01, 1.659355164E-01
 7.997940183E-01, 1.486299515E+00
 7.997942567E-01, 2.806678772E+00
 7.997944951E-01, 2.536551237E+00
 7.997946739E-01, 1.179487705E-01
 7.997949123E-01, 2.772462130E+00
 7.997952104E-01, 9.062218666E-02
 7.997953892E-01, 1.250289917E+00
 7.997955680E-01, 1.404262543E+00
 7.997958064E-01, 2.724739075E+00
 7.997959852E-01, 4.976105690E-02
 7.997962832E-01, 1.297912836E+00
 7.997965217E-01, 1.311480761E+00
 7.997967005E-01, 2.677226305E+00
 7.997968793E-01, 2.285003662E-03
 7.997971773E-01, 1.345325470E+00
 7.997974157E-01, 2.474975586E-02
 7.997975945E-01, 2.699663877E+00
 7.997977734E-01, 1.289101362E+00
 7.997980118E-01, 1.275634527E+00
 7.997983098E-01, 7.189536095E-02
 7.997984886E-01, 3.916910887E+00
 7.997987270E-01, 1.426115036E+00
 7.997989058E-01, 1.228635788E+00
 7.997992039E-01, 1.188306808E-01
 7.997993827E-01, 1.459594965E+00
 7.997996211E-01, 1.472956896E+00
 7.997997999E-01, 2.515921831E+00
 7.998000383E-01, 3.836664915E+00
 7.998002768E-01, 1.506286621E+00
 7.998005152E-01, 1.855163574E-01
 7.998006940E-01, 2.469340324E+00
 7.998009324E-01, 1.539509058E+00
 7.998011708E-01, 1.552767992E+00
 7.998014092E-01, 2.319409847E-01
 7.998015881E-01, 2.906692505E+00
 7.998018265E-01, 1.585840225E+00
 7.998020053E-01, 1.069093704E+00
 7.998023033E-01, 2.781553268E-01
 7.998024821E-01, 2.952870131E+00
 7.998027205E-01, 1.631961107E+00
 7.998028994E-01, 2.357089281E+00
 7.998031974E-01, 3.241593838E-01
 7.998033762E-01, 1.664775848E+00
 7.998036146E-01, 3.438110352E-01
 7.998037934E-01, 2.311228752E+00
 7.998040318E-01, 3.031542540E+00
 7.998042703E-01, 1.710536242E+00
 7.998045087E-01, 3.895146847E-01
 7.998046875E-01, 2.265578508E+00
 7.998049259E-01, 1.743093491E+00
 7.998052239E-01, 9.055325985E-01
 7.998054028E-01, 4.350080490E-01
 7.998055816E-01, 3.109596968E+00
 7.998058200E-01, 1.788493395E+00
 7.998059988E-01, 2.200728655E+00
 7.998062968E-01, 4.802911282E-01
 7.998065352E-01, 8.408591747E-01
 7.998067141E-01, 1.833683014E+00
 7.998068929E-01, 2.155589104E+00
 7.998071909E-01, 8.086833954E-01
 7.998074293E-01, 7.958431244E-01
 7.998076081E-01, 1.878662348E+00
 7.998078465E-01, 5.574300289E-01
 7.998080254E-01, 3.431905508E+00
 7.998083234E-01, 7.510373592E-01
 7.998085022E-01, 5.893888474E-01
 7.998087406E-01, 6.021423340E-01
 7.998089194E-01, 1.942553759E+00
 7.998092175E-01, 2.040481567E+00
 7.998093963E-01, 6.339509487E-01
 7.998096347E-01, 6.466443539E-01
 7.998098135E-01, 1.987022400E+00
 7.998100519E-01, 6.656522751E-01
 7.998102903E-01, 6.783027649E-01
 7.998105288E-01, 6.430988312E-01
 7.998107076E-01, 2.031280756E+00
 7.998109460E-01, 7.098538876E-01
 7.998111844E-01, 7.224442959E-01
 7.998114228E-01, 5.990140438E-01
 7.998116016E-01, 7.412977219E-01
 7.998118401E-01, 7.538452148E-01
 7.998120189E-01, 3.428171873E+00
 7.998122573E-01, 2.106662989E+00
 7.998124957E-01, 7.851388454E-01
 7.998127341E-01, 7.976262569E-01
 7.998129129E-01, 2.137889862E+00
 7.998132110E-01, 1.845500231E+00
 7.998133898E-01, 8.287696838E-01
 7.998136282E-01, 4.928264618E-01
 7.998138070E-01, 4.482482910E+00
 7.998140454E-01, 8.598058224E-01
 7.998142242E-01, 1.795851946E+00
 7.998145223E-01, 4.494626522E-01
 7.998147011E-01, 8.907346725E-01
 7.998149395E-01, 9.030761719E-01
 7.998151183E-01, 3.577276945E+00
 7.998154163E-01, 4.063091278E-01
 7.998155951E-01, 9.338548183E-01
 7.998158336E-01, 9.461362362E-01
 7.998160124E-01, 3.043642759E+00
 7.998162508E-01, 2.298540115E+00
 7.998165488E-01, 1.685147524E+00
 7.998167276E-01, 3.450260162E-01
 7.998169065E-01, 2.329101801E+00
 7.998171449E-01, 2.341296434E+00
 7.998174429E-01, 1.642471313E+00
 7.998176217E-01, 3.023831844E-01
 7.998178601E-01, 2.902381420E-01
 7.998180389E-01, 1.049835205E+00
 7.998182178E-01, 2.940065384E+00
 7.998185158E-01, 2.599506378E-01
 7.998187542E-01, 1.581870079E+00
 7.998189330E-01, 1.092174292E+00
 7.998191714E-01, 2.297704220E-01
 7.998194098E-01, 1.551730394E+00
 7.998196483E-01, 1.539704561E+00
 7.998198271E-01, 1.134303093E+00
 7.998200655E-01, 1.876983643E-01
 7.998202443E-01, 1.152293921E+00
 7.998205423E-01, 1.497749329E+00
 7.998207211E-01, 1.176221609E+00
 7.998209596E-01, 1.479832888E+00
 7.998211384E-01, 1.194122314E+00
 7.998214364E-01, 2.789998770E+00
 7.998216152E-01, 1.160640717E-01
 7.998218536E-01, 1.438178062E+00
 7.998220325E-01, 1.235740423E+00
 7.998222709E-01, 8.639883995E-02
 7.998225093E-01, 7.456278801E-02
 7.998227477E-01, 1.396733522E+00
 7.998229265E-01, 1.277148247E+00
 7.998231649E-01, 4.504776001E-02
 7.998234034E-01, 3.327178955E-02
 7.998236418E-01, 1.355499268E+00
 7.998238206E-01, 1.564002037E-02
 7.998240590E-01, 3.906965256E-03
 7.998242378E-01, 1.335937500E+00
 7.998245358E-01, 2.648458242E+00
 7.998247147E-01, 2.535057068E-02
 7.998249531E-01, 3.702354431E-02
 7.998251319E-01, 1.376834631E+00
 7.998254299E-01, 2.607641220E+00
 7.998256683E-01, 2.734089136E+00
 7.998258471E-01, 1.256234407E+00
 7.998260260E-01, 1.417521477E+00
 7.998262644E-01, 9.513092041E-02
 7.998265624E-01, 3.889446497E+00
 7.998267412E-01, 1.215721130E+00
 7.998269796E-01, 1.204184532E+00
 7.998271585E-01, 1.355507374E-01
 7.998274565E-01, 1.481033087E+00
 7.998276353E-01, 1.175418139E+00
 7.998278737E-01, 2.497912169E+00
 7.998280525E-01, 1.757602692E-01
 7.998282313E-01, 1.515456915E+00
 7.998285294E-01, 1.135325432E+00
 7.998287678E-01, 2.457876205E+00
 7.998289466E-01, 1.118207216E+00
 7.998291850E-01, 1.106816530E+00
 7.998294234E-01, 2.429407835E+00
 7.998296618E-01, 3.752014399E+00
 7.998298407E-01, 1.078414917E+00
 7.998300791E-01, 1.067084312E+00
 7.998302579E-01, 2.725365162E-01
 7.998305559E-01, 1.617801428E+00
 7.998307347E-01, 1.038832903E+00
 7.998309731E-01, 2.361521482E+00
 7.998311520E-01, 3.120250702E-01
 7.998314500E-01, 1.657226562E+00
 7.998316288E-01, 9.994611740E-01
 7.998318672E-01, 2.322206497E+00
 7.998320460E-01, 9.826519489E-01
 7.998322845E-01, 9.714672565E-01
 7.998325229E-01, 2.294253111E+00
 7.998327613E-01, 2.283101797E+00
 7.998329401E-01, 9.435806274E-01
 7.998331785E-01, 9.324560165E-01
 7.998334765E-01, 4.126014709E-01
 7.998336554E-01, 3.086047411E+00
 7.998338342E-01, 9.047195911E-01
 7.998340726E-01, 2.227602720E+00
 7.998342514E-01, 4.458179474E-01
 7.998345494E-01, 1.790802002E+00
 7.998347282E-01, 8.660688400E-01
 7.998349667E-01, 2.189008713E+00
 7.998351455E-01, 4.843752384E-01
 7.998354435E-01, 1.829295874E+00
 7.998356819E-01, 1.840255499E+00
 7.998358607E-01, 2.150624990E+00
 7.998360395E-01, 5.227222443E-01
 7.998362780E-01, 8.002996445E-01
 7.998364568E-01, 5.390923023E-01
 7.998367548E-01, 3.217860460E+00
 7.998369932E-01, 1.894796133E+00
 7.998371720E-01, 7.622196674E-01
 7.998374701E-01, 5.825569630E-01
 7.998376489E-01, 3.408422709E+00
 7.998378873E-01, 1.932719231E+00
 7.998380661E-01, 7.243499756E-01
 7.998383045E-01, 2.047500610E+00
 7.998384833E-01, 7.081844807E-01
 7.998387814E-01, 1.970432043E+00
 7.998389602E-01, 2.020620108E+00
 7.998391986E-01, 3.343826532E+00
 7.998393774E-01, 6.706151962E-01
 7.998396754E-01, 6.740074158E-01
 7.998398542E-01, 1.983167648E+00
 7.998400927E-01, 3.306430817E+00
 7.998402715E-01, 6.332561970E-01
 7.998405099E-01, 1.956544638E+00
 7.998407483E-01, 3.384460449E+00
 7.998409867E-01, 2.061144829E+00
 7.998411655E-01, 5.961074829E-01
 7.998414040E-01, 1.919452667E+00
 7.998416424E-01, 3.421509027E+00
 7.998418808E-01, 2.098136663E+00
 7.998420596E-01, 1.893087149E+00
 7.998422980E-01, 1.882570982E+00
 7.998424768E-01, 5.434026718E-01
 7.998427749E-01, 8.010025024E-01
 7.998429537E-01, 1.856355667E+00
 7.998431921E-01, 3.484531641E+00
 7.998433709E-01, 5.067646503E-01
 7.998436689E-01, 8.375771046E-01
 7.998438478E-01, 1.819834471E+00
 7.998440862E-01, 3.143348932E+00
 7.998442650E-01, 4.703369141E-01
 7.998445034E-01, 1.793876648E+00
 7.998448014E-01, 4.496154785E-01
 7.998449802E-01, 2.223369360E+00
 7.998451591E-01, 1.768026114E+00
 7.998453975E-01, 1.757715940E+00
 7.998456955E-01, 4.135181904E-01
 7.998458743E-01, 2.259429932E+00
 7.998461127E-01, 9.357910156E-01
 7.998462915E-01, 1.721765518E+00
 7.998464704E-01, 3.827450275E-01
 7.998467684E-01, 2.295280218E+00
 7.998470068E-01, 9.715845585E-01
 7.998471856E-01, 3.019924402E+00
 7.998473644E-01, 3.470382690E-01
 7.998476624E-01, 9.970226288E-01
 7.998479009E-01, 3.267288208E-01
 7.998480797E-01, 2.984391212E+00
 7.998483181E-01, 2.356248617E+00
 7.998484969E-01, 1.635332823E+00
 7.998487949E-01, 2.913525105E-01
 7.998489738E-01, 2.381469727E+00
 7.998492122E-01, 1.057636261E+00
 7.998493910E-01, 1.600103378E+00
 7.998496890E-01, 2.561864853E-01
 7.998498678E-01, 2.416599035E+00
 7.998501062E-01, 1.092708826E+00
 7.998502851E-01, 2.898971796E+00
 7.998505235E-01, 2.441562653E+00
 7.998507619E-01, 1.117631912E+00
 7.998510003E-01, 1.127571106E+00
 7.998511791E-01, 2.864159584E+00
 7.998514175E-01, 2.476331472E+00
 7.998516560E-01, 1.152343988E+00
 7.998518944E-01, 1.162223101E+00
 7.998520732E-01, 2.829557657E+00
 7.998523116E-01, 1.177009583E+00
 7.998524904E-01, 1.480913162E+00
 7.998527884E-01, 1.372137070E-01
 7.998529673E-01, 2.535445929E+00
 7.998532057E-01, 1.211361170E+00
 7.998533845E-01, 1.446614981E+00
 7.998536825E-01, 1.029789448E-01
 7.998539209E-01, 9.323620796E-02
